Order_Date,Customer_Name,Customer_Type,City,State,Product_Name,Category,Quantity,Unit_Price,Total_Amount,source_month
11-04-2023,Sharma Kirana Store,Kirana,Ahmedabad,Gujarat,NexaClean Floor Cleaner 1L,Household,30,90.00,"2,700.00",Apr_2023
11-04-2023,Mehta Kirana,Kirana,Nagpur,Maharashtra,NexaGold Moong Dal 1kg,Dal,37,130.00,"4,810.00",Apr_2023
28-04-2023,Mehta Kirana,Kirana,Nagpur,Maharashtra,NexaClean Dishwash 500ml,Household,3,85.00,255.00,Apr_2023
18-04-2023,Rajput Provisions,Kirana,Ahmedabad,Gujarat,NexaGold Wheat Atta 10kg,Atta,15,620.00,"9,300.00",Apr_2023
19-04-2023,Khare Kirana,Kirana,Pune,Maharashtra,NexaGold Wheat Atta 10kg,Atta,28,620.00,"17,360.00",Apr_2023
16-04-2023,Star Bazaar Pune,Supermarket,Nashik,Maharashtra,NexaGold Wheat Atta 10kg,Atta,26,620.00,"16,120.00",Apr_2023
23-04-2023,Parmar General Store,Kirana,Rajkot,Gujarat,NexaGold Multigrain Atta 5kg,Atta,2,350.00,700.00,Apr_2023
12-04-2023,Star Bazaar Pune,Supermarket,Solapur,Maharashtra,NexaGold Sunflower Oil 5L,Edible Oil,40,280.00,"11,200.00",Apr_2023
11-04-2023,Reliance Fresh Rajkot,Supermarket,Nagpur,Maharashtra,NexaClean Floor Cleaner 1L,Household,15,90.00,"1,350.00",Apr_2023
09-04-2023,Reliance Fresh Baner,Supermarket,Kolhapur,Maharashtra,NexaCrunch Chips 100g,Snacks,27,20.00,540.00,Apr_2023
20-04-2023,D-Mart Hinjewadi,Supermarket,Ahmedabad,Gujarat,NexaGold Moong Dal 1kg,Dal,14,130.00,"1,820.00",Apr_2023
17-04-2023,Gokhale Provisions,Kirana,Solapur,Maharashtra,NexaCrunch Chips 100g,Snacks,23,20.00,460.00,Apr_2023
04-04-2023,Parmar General Store,Kirana,Nagpur,Maharashtra,NexaCare Soap 100g,Personal Care,23,50.00,"1,150.00",Apr_2023
